;index;municipio;Estado;ano;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de serviço;Natureza jurídica;POP_TOT;POP_URB;AG006;AG011;AG018;AG021;ES009;FN006;FN033;FN048;FN058;IN023;IN024;IN046;IN049;IN055;IN056;IN075;IN076;IN079;IN080;IN084;IN085;SNSI4;SNSI1;SNSI2;SNSI5;cod_ibge;TCE01;TCE02;TCE03;TCE04;TCE05;TCE06;TCE13;TCE14;TCE15;TCE16;TCE18;TCE20;TCE21;TCE26
0;3;Adamantina;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;35001;33086;3148.69;2636.37;0.0;15240.0;14902.0;11111240.48;1521445.05;0.0;0.0;100.0;100.0;81.76;26.62;96.09;95.13;0.0;0.0;100.0;100.0;0.15;100.0;0.16270893609723414;0.34317267031122506;0.3101603358024482;-0.16057689628414648;3500105;percentual:;100;100;100;sim;Lei Lei Complementar  137 de 2009;sim, para todos os órgãos e entidades;sim;Conta com uma Equipe para redução de Riscos de Estiagem.;não;não;sim;A Sabesp tem vários planos emergenciais, de acordo com a necessidade e o tipo de emergência.;sim
1;11;Adolfo;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3631;3267;259.07;268.63;0.0;1617.0;1610.0;1032313.21;231955.72;0.0;0.0;100.0;100.0;84.39;8.53;92.89;92.7;0.0;0.0;100.83;100.83;0.0;100.83;-0.03690122360751924;0.4071492513608343;0.40695028232052854;0.20279556015848152;3500204;percentual:;100;100;100;não;;parcialmente;não;;não;não;não;;sim
2;23;Águas da Prata;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;7984;7128;770.33;677.15;0.0;4038.0;3519.0;2658704.44;637201.95;0.0;0.0;100.0;92.85;70.39;27.22;96.27;82.89;0.35;0.0;120.0;119.79;0.0;119.79;0.12096114652162071;0.2870772835386419;0.14380256039766412;22.42111940219294;3500402;percentual:;100;94;85;não;;parcialmente;sim;CAMPANHAS PARA ECONOMIA DE AGUA E PARCERIA COM A SABESP VISANDO A CONSERVAÇÃO DOS MANANCIAIS.;não;não;sim;DISTRIBUIÇÃO DE AGUA ATRAVÉS DE CAMINHÃO PIPA E INSTALAÇÃO CAPTAÇÃO EMERGENCIAL DE AGUA BRUTA.;sim
3;31;Águas de Lindóia;SP;2014;35005011;Saneamento Ambiental de Águas de Lindóia;SAAE;Local;Água e Esgoto;Autarquia;18212;18049;2287.44;2182.41;0.0;7582.0;6382.0;6677299.28;781970.96;0.0;1633569.5;99.69;99.11;15.2;33.99;98.8;98.22;1.14;1.19;100.0;100.0;8.75;100.0;0.04591595845136931;0.6049189724349943;3.0528020123313477;0.6699325461787731;3500501;percentual:;98;96;30;sim;Lei 2841/111;não;não;;não;não;não;;sim
4;39;Águas de Santa Bárbara;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5911;4495;664.03;426.56;0.0;2593.0;1780.0;1503898.76;1434538.65;0.0;0.0;99.8;77.71;59.0;46.24;75.89;59.09;2.76;0.0;120.83;120.0;0.73;114.17;0.35761938466635546;0.09947665925031998;0.103321266761055;-0.17655770955053357;3500550;percentual:;95;80;80;não;;não;não;;não;não;não;;sim
5;47;Águas de São Pedro;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3073;3073;733.85;564.96;0.0;2376.0;2187.0;2895009.95;319345.07;0.0;0.0;100.0;96.58;0.0;34.09;100.0;96.58;0.0;0.0;104.17;104.17;0.0;104.17;0.2301423996729577;1.0;0.3291639685082302;0.01912077564826259;3500600;percentual:;100;97;0;sim;Lei 1644/2012;parcialmente;não;;não;não;não;;sim
6;55;Agudos;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;36339;34728;3384.23;2547.45;0.0;13269.0;992.0;5958208.54;6579244.44;0.0;0.0;99.05;98.81;0.0;30.79;94.66;94.43;0.0;0.0;101.82;101.82;0.6;101.82;0.2472586083097189;0.3707326508558679;0.28216147677181586;0.22772553513485347;3500709;percentual:;100;100;;não;;parcialmente;sim;Monitoramento 24horas do Sistema e possibilidade de manobras emergenciais;sim;sim;não;;sim
7;63;Alambari;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5460;4105;336.97;293.62;0.0;1887.0;1183.0;1009330.51;305837.76;0.0;0.0;95.81;64.34;53.22;25.64;72.03;48.37;0.0;0.34;122.08;121.25;0.0;119.17;0.12864646704454408;0.20158175773247813;0.03367181607861334;-0.6197120367172637;3500758;percentual:;98;80,2;100;sim;Lei 610/2014;parcialmente;não;;sim;sim;não;;não
8;71;Alfredo Marcondes;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4083;3416;286.96;278.95;0.0;1800.0;1626.0;1095485.71;161231.22;0.0;0.0;100.0;99.15;78.1;17.27;87.36;82.95;0.0;0.0;100.0;100.0;0.83;100.0;0.02791329802063003;0.18469847603976747;0.1301347942317105;-0.026063258233839814;3500808;percentual:;100;100;100;não;;sim, para todos os órgãos e entidades;sim;o municipio possui uma brigada contra incêndio.;não;não;não;;sim
9;79;Altair;SP;2014;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4035;3196;219.29;206.17;0.0;1245.0;1192.0;828039.18;119301.89;0.0;0.0;99.81;94.99;80.27;17.57;79.06;75.24;6.87;0.0;121.25;120.0;0.35;120.42;0.05982944958730452;0.1771663285312635;0.17637288302085613;-2.5873106341994947;3500907;percentual:;100;100;100;não;;parcialmente;não;;não;não;não;;sim
