;index;municipio;Estado;ano;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de serviço;Natureza jurídica;POP_TOT;POP_URB;AG006;AG011;AG018;AG021;ES009;FN006;FN033;FN048;FN058;IN023;IN024;IN046;IN049;IN055;IN056;IN075;IN076;IN079;IN080;IN084;IN085;SNSI4;SNSI1;SNSI2;SNSI5;cod_ibge;TCE01;TCE02;TCE03;TCE04;TCE05;TCE06;TCE13;TCE14;TCE15;TCE16;TCE17;TCE18;TCE19;TCE20;TCE21;TCE26;TCE28;TCE29
0;1;Adamantina;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;35094;33174;2922.71;2568.91;0.0;15717.0;15477.0;13623894.74;918304.94;0.0;0.0;100.0;100.0;96.62;24.61;99.58;98.98;0.6;0.0;100.0;100.0;0.3;100.0;0.12105203732152703;0.7828626652754763;0.6419865190514445;-0.18862266242309242;3500105;possui registro;100,00;100,00;100,00;Sim;Lei baseada Lei 11.445/07 - Diretrizes Nacionais para o Saneamento Básico;Parcialmente;sim;Reservatórios e caminhão rolon tanque e caminhões pipa;Sim;Reservatórios e caminhão rolon tanque e caminhões pipa;Sim;Reservatórios e caminhão rolon tanque e caminhões pipa;sim;Reservatórios e caminhão rolon tanque e caminhões pipa;Sim;sim;sim
1;9;Adolfo;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3616;3253;254.36;270.97;0.0;1717.0;1711.0;1274241.77;103533.0;0.0;0.0;100.0;100.0;100.0;8.76;100.0;100.0;0.0;0.0;100.83;100.83;0.0;100.83;-0.06530114797924202;1.0;1.0;0.1847681463783802;3500204;possui registro;100,00;100,00;100,00;Não;;Parcialmente;sim;prevenção;Não;;Não;;não;;Sim;não;sim
2;16;Aguaí;SP;2016;35003011;Prefeitura Municipal de Águaí;DAE;Local;Água e Esgoto;Administração pública direta;35189;31744;2150.84;1995.84;0.0;17860.0;17860.0;2087796.13;;0.0;;100.0;100.0;86.21;7.21;90.21;90.21;4.93;4.51;100.0;100.0;1.67;100.0;0.0720648676796043;;;;3500303;possui registro;98,00;100,00;62,00;Sim;Lei Lei nº 2.536/2015;Não;não;;Sim;além da distribuição de água potável da Estação de tratamento de água, foi perfurado poços artesiano;Sim;reservatórios instalados para abastecimento.;não;;Sim;não;sim
3;21;Águas da Prata;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8065;7200;735.51;657.04;0.0;4160.0;3731.0;3121927.85;625863.08;0.0;0.0;100.0;98.62;90.71;28.29;94.2;88.05;0.0;0.19;112.5;112.5;0.56;112.5;0.10668787643947741;0.13798400868875552;0.1662920612956609;-0.1999715086797855;3500402;possui registro;95,00;100,00;100,00;Sim;Lei 2177/2015;Sim, para todos os órgãos e entidades;não;;Não;;Não;;não;;Sim;sim;sim
4;29;Águas de Lindóia;SP;2016;35005011;Saneamento Ambiental de Águas de Lindóia;SAAE;Local;Água e Esgoto;Autarquia;18412;18247;2442.45;2061.8;0.0;7977.0;6426.0;7908247.85;213356.0;0.0;5877.6;100.0;99.45;20.92;36.09;99.1;98.56;0.93;0.52;100.0;100.0;4.29;100.0;0.1558476120289053;0.7084062727195184;1.2878946268032592;-0.6064407780494595;3500501;possui registro;96,00;100,00;65,00;Sim;Lei 2841/2011;Parcialmente;não;;Não;;Não;;não;;Sim;não;sim
5;37;Águas de Santa Bárbara;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5977;4545;550.82;433.73;0.0;2905.0;1963.0;2215153.05;327334.61;0.0;0.0;96.85;66.14;76.59;36.32;73.65;50.29;9.37;0.0;106.67;105.83;7.32;102.5;0.21257398061072585;0.18119776972549445;0.03912129589840403;0.4673161410086752;3500550;possui registro;80,00;100,00;100,00;Não;;Parcialmente;não;;Não;;Não;;não;;Sim;não;sim
6;45;Águas de São Pedro;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3205;3205;682.82;539.45;0.0;2479.0;2293.0;3566967.32;1765941.79;0.0;0.0;97.19;92.45;27.97;33.92;97.19;92.45;0.0;0.0;110.0;108.33;0.0;108.33;0.20996748777130136;0.31526472340233075;0.2635102079017113;-0.3123853353126743;3500600;possui registro;100,00;100,00;95,00;Sim;Lei Lei 1644/2012;Parcialmente;não;;Não;;Não;;não;;Sim;não;sim
7;53;Agudos;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;36704;35076;3099.05;2504.09;0.0;14085.0;1112.0;7307955.2;6510004.57;0.0;0.0;100.0;100.0;14.93;27.54;100.0;98.38;0.88;0.15;103.48;101.36;1.05;101.21;0.19198141365902455;1.0;;0.01116258772572753;3500709;possui registro;99,99;99,99;99,99;Não;;Sim, para todos os órgãos e entidades;sim;transporte de água potável em caminhão pipa;Sim;reabastecimento com água potável com o caminhão pipa;Sim;reabastecimento com água potável com o caminhão pipa;sim;Emergencial disponível pela Sabesp, transferência de abastecimento de uma localização para outra;Sim;sim;sim
8;61;Alambari;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5658;4254;399.05;318.51;0.0;2053.0;1241.0;1283338.3;115039.34;0.0;0.0;100.0;63.09;55.04;34.41;78.4;47.44;1.57;1.41;106.3;105.0;0.91;102.22;0.20182934469364744;0.07369529252519176;0.018559021612870222;-0.7043962156260113;3500758;não possui registro;;;;Sim;Lei 610, de 03.11.2014;Parcialmente;não;;Não;;Não;;não;;Não;não;sim
9;69;Alfredo Marcondes;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4118;3445;261.18;282.38;0.0;1884.0;1706.0;1315686.76;511350.33;0.0;0.0;100.0;100.0;95.41;9.09;96.94;89.7;0.0;0.0;100.0;100.0;0.0;100.0;-0.0811700742782755;0.39605895848392425;0.16956682010226937;2.9877602811874975;3500808;possui registro;98,00;100,00;100,00;Sim;;Parcialmente;sim;Brigada de incêndio;Não;;Não;;não;;Sim;não;sim
10;77;Altair;SP;2016;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4085;3236;211.79;201.88;0.0;1284.0;1229.0;926868.89;5370.52;0.0;0.0;100.0;100.0;97.66;18.26;81.2;79.22;1.11;0.0;112.5;112.5;0.0;112.5;0.046791633221587414;0.07181198763400341;0.061157463503005625;0.23968119568016158;3500907;possui registro;100,00;100,00;100,00;Não;;Sim, para todos os órgãos e entidades;sim;Equipe de pronto atendimento a combate de incêndio.;Sim;Reservatórios de armazenamento.;Sim;Reservatório de armazenamento de água.;não;;Sim;não;sim
