;index;municipio;Estado;ano;Código do Prestador;Prestador;Sigla do Prestador;Abrangência;Tipo de serviço;Natureza jurídica;POP_TOT;POP_URB;AG006;AG011;AG018;AG021;ES009;FN006;FN033;FN048;FN058;IN023;IN024;IN046;IN049;IN055;IN056;IN075;IN076;IN079;IN080;IN084;IN085;SNSI4;SNSI1;SNSI2;SNSI5;cod_ibge;TCE01;TCE02;TCE05;TCE06;TCE07;TCE08;TCE09;TCE11;TCE12;TCE13;TCE14;TCE15;TCE16;TCE17;TCE18;TCE19;TCE20;TCE21;TCE22;TCE23;TCE24;TCE25;TCE26;TCE28;TCE29
0;0;Adamantina;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;35139;33217;2963.57;2607.06;0.0;15951.0;15726.0;16123206.55;570617.94;0.0;0.0;100.0;100.0;97.36;24.37;100.0;99.59;0.15;0.15;100.0;100.0;0.0;100.0;0.12029747905397892;1.0;0.7936456272041106;0.006233338027545331;3500105;Sim;95;Sim;não há |#| não há;10;10;Não;Contrato de Programa.;30;Parcialmente;Sim;Verificação e adequação de plano de ação ás características da ocorrência, Comunicação à população/ instituições / autoridades / Defesa civil, Comunicação a polícia, Deslocamento de frota grande de caminhões tanque, Controle da água disponível em reservatórios, Reparo das instalações danificadas, Implementação do PAE Cloro, Implementação de rodízio de abastecimento.;Sim;Verificação e adequação de plano de ação ás características da ocorrência, Comunicação à população/ instituições / autoridades / Defesa civil, Comunicação a polícia, Deslocamento de frota grande de caminhões tanque, Controle da água disponível em reservatórios, Reparo das instalações danificadas, Implementação do PAE Cloro, Implementação de rodízio de abastecimento.;Sim;Verificação e adequação de plano de ação ás características da ocorrência, Comunicação à população/ instituições / autoridades / Defesa civil, Comunicação a polícia, Deslocamento de frota grande de caminhões tanque, Controle da água disponível em reservatórios, Reparo das instalações danificadas, Implementação do PAE Cloro, Implementação de rodízio de abastecimento.;Sim;Verificação e adequação de plano de ação ás características da ocorrência, Comunicação à população/ instituições / autoridades / Defesa civil, Comunicação a polícia, Deslocamento de frota grande de caminhões tanque, Controle da água disponível em reservatórios, Reparo das instalações danificadas, Implementação do PAE Cloro, Implementação de rodízio de abastecimento.;Não;A Companhia de Saneamento Básico do Estado de São Paulo  Sabesp;Contrato de Programa.;30;Sim;Sim;Sim
1;8;Adolfo;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3609;3247;272.05;276.21;0.0;1752.0;1747.0;1508793.92;179411.34;0.0;0.0;100.0;100.0;100.0;12.37;100.0;100.0;0.0;0.0;100.0;100.0;0.0;100.0;-0.0152913067450835;1.0;1.0;0.7658340286767346;3500204;Sim;100;Sim;Lei |#| 872/2011;10;10;Não;lei;30;Sim, para todos os órgãos e entidades;Sim;Treinamento da brigada;Sim;Caixa d´agua e poços.;Sim;Poços e caixa d´agua.;Sim;Abastecimento de água no município é de responsabilidade da concessionária sabesp.;Não;sabesp;Lei;30;Sim;Não;Sim
2;20;Águas da Prata;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;8104;7235;721.98;667.36;0.0;4190.0;3786.0;3732909.83;1538042.12;0.0;0.0;100.0;99.07;90.8;25.12;93.67;88.45;0.38;0.0;108.13;107.52;0.19;107.32;0.07565306518186099;0.09580060546555397;0.1001120530610859;0.29089351380259265;3500402;Sim;100;Sim;Lei |#| 2199/2016;8;7,2;Não;Contrato de Programa;30;Sim, para todos os órgãos e entidades;Não;;Não;;Não;;Não;;Não;SABESP;Contrato de Programa;30;Sim;Não;Sim
3;28;Águas de Lindóia;SP;2017;35005011;Saneamento Ambiental de Águas de Lindóia;SAAE;Local;Água e Esgoto;Autarquia;18509;18343;2461.1;2005.4;0.0;8155.0;7379.0;9066808.91;213422.9;0.0;44227.91;100.0;99.45;45.8;30.61;99.1;98.56;0.38;0.43;100.0;100.0;4.29;100.0;0.1851611068221526;0.7061767143194544;0.8983700584122344;-0.18809075359980798;3500501;Sim;100;Sim;LEI |#| 2841/2011;3,7;2;Sim;;;Parcialmente;Não;;Não;;Não;;Não;;Sim;;;;Sim;Não;Sim
4;36;Águas de Santa Bárbara;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;6009;4569;566.57;451.24;0.0;2964.0;2000.0;2502855.64;347086.16;0.0;0.0;96.85;66.49;74.46;36.68;73.64;50.56;4.51;0.0;110.83;110.0;1.57;105.83;0.20355825405510353;0.05267921014406652;0.018567807753631937;0.0424121829478853;3500550;Sim;100;Não;;7;6,6;Não;Contrato;30;Parcialmente;Não;;Não;;Não;;Não;;Não;SABESP;Contrato;30;Sim;Não;Sim
5;44;Águas de São Pedro;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;3268;3268;828.13;558.38;0.0;2534.0;2346.0;3969363.05;6960871.02;0.0;0.0;97.18;92.44;97.0;42.71;97.18;92.44;0.0;0.0;102.5;100.0;0.0;100.0;0.32573388236146494;0.42790762466395293;0.2164480973780523;-0.5513539063545756;3500600;Sim;100;Sim;LEI |#| 1644/2012;7,9;1,4;Não;Contrato de Programa que esta em fase de renovaçao.;0;Parcialmente;Não;;Não;;Não;;Não;;Não;SABESP;O Contrato de Programa, com a SABESP, está em fase de renovação.;0;Sim;Não;Sim
6;52;Agudos;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;36880;35245;3173.95;2568.21;0.0;14461.0;1141.0;8675649.37;2266040.82;0.0;0.0;100.0;100.0;30.0;27.7;100.0;98.4;0.0;0.15;102.88;102.27;0.15;102.27;0.19084736684572845;1.0;0.6098478372371352;0.0059070656460018635;3500709;Sim;100;Sim;ainda não foi elaborado instrumento normativo. |#| 00;8,2;1,7;Não;Contrato de concessão;30;Sim, para todos os órgãos e entidades;Não;;Sim;As ações e medidas de contingenciamento para a provisão de água potável e de uso comum para a Rede Municipal de Ensino, é realizada pela SABESP.;Sim;Interligação entre os sistemas de abastecimento.;Não;;Não;Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Contrato de concessão;30;Sim;Não;Sim
7;60;Alambari;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;5754;4326;401.71;321.08;0.0;2093.0;1264.0;1605342.68;195126.37;0.0;0.0;100.0;62.11;55.22;34.23;77.72;46.7;0.54;1.63;110.71;109.76;0.0;107.14;0.20071693510243704;0.06249994973948972;0.015692823320227978;0.005511634558883884;3500758;Não;;Sim;Lei Municipal |#| 03.11.2014;6;5,9;Não;Concessão;30;Parcialmente;Não;;Não;;Não;;Não;;Não;Sabesp;Concessão;30;Não;Não;Sim
8;68;Alfredo Marcondes;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4135;3459;278.27;287.35;0.0;1931.0;1737.0;1676252.7;121618.18;0.0;0.0;100.0;100.0;95.27;13.33;98.09;90.08;0.0;0.0;100.0;99.17;0.0;100.0;-0.032630179322241215;0.5555538149338903;0.139459995045826;0.5980023473875961;3500808;Sim;100;Sim;Lei |#| 2466;10;10;Não;Contrato Programa;30;Parcialmente;Não;;Não;;Não;;Sim;Temos  3 Poço profundo de abastecimento, a qual 01 é reservado para essa finalidade.;Não;Sabesp;Contrato Programa;30;Sim;Não;Sim
9;76;Altair;SP;2017;35503000;Companhia de Saneamento Básico do Estado de São Paulo;SABESP;Regional;Água e Esgoto;Sociedade de economia mista com administração pública;4109;3255;223.25;206.05;0.0;1298.0;1261.0;1156431.83;133263.73;0.0;0.0;100.0;100.0;97.92;20.33;81.24;80.51;4.89;0.0;110.83;110.0;0.0;110.0;0.07704367301231796;0.044623632288966014;0.09488086307291112;-0.6465266909463999;3500907;Sim;100;Não;;8;7,7;Não;CONTRATO;20;Não;Sim;"Medidas Preventivos junto ao Grupo TEREOS;";Sim;Trabalho em Equipe com a SABESP, de conscientização.;Sim;Trabalho em Equipe com a SABESP, de conscientização.;Sim;Planejamento elaborado pela SABESP, e apresentado anualmente ao executivo para apreciação.;Não;SABESP;CONTRATO;20;Sim;Não;Sim
